,NDC Description,NADAC_Per_Unit,Effective_Date,Pricing_Unit,OTC,Classification_for_Rate_Setting,rx_name,dosage
6140526,INVEGA ER 1.5 MG TABLET,35.85006,180117,EA,N,B,INVEGA ER,1.5 MG TABLET
6141036,INVEGA ER 3 MG TABLET,35.50707,180221,EA,N,B,INVEGA ER,3 MG TABLET
6142795,INVEGA ER 6 MG TABLET,35.58178,181017,EA,N,B,INVEGA ER,6 MG TABLET
6150060,INVEGA ER 9 MG TABLET,53.26196,180117,EA,N,B,INVEGA ER,9 MG TABLET
861481,INVEGA SUSTENNA 117 MG PREF SY,"1,360.77182",160106,ML,N,B,INVEGA SUSTENNA,117 MG PREF SY
6127222,INVEGA SUSTENNA 117 MG/0.75 ML,"1,599.21048",180620,ML,N,B,INVEGA SUSTENNA,117 MG/0.75 ML
819801,INVEGA SUSTENNA 156 MG PREF SY,"1,365.83923",160106,ML,N,B,INVEGA SUSTENNA,156 MG PREF SY
6139424,INVEGA SUSTENNA 156 MG/ML SYRG,"1,607.57583",181017,ML,N,B,INVEGA SUSTENNA,156 MG/ML SYRG
850586,INVEGA SUSTENNA 234 MG PREF SY,"1,367.66092",160106,ML,N,B,INVEGA SUSTENNA,234 MG PREF SY
6132512,INVEGA SUSTENNA 234 MG/1.5 ML,"1,603.07122",180620,ML,N,B,INVEGA SUSTENNA,234 MG/1.5 ML
860934,INVEGA SUSTENNA 39 MG PREF SYR,"1,359.68029",160106,ML,N,B,INVEGA SUSTENNA,39 MG PREF SYR
6131492,INVEGA SUSTENNA 39 MG/0.25 ML,"1,604.11150",180103,ML,N,B,INVEGA SUSTENNA,39 MG/0.25 ML
860484,INVEGA SUSTENNA 78 MG PREF SYR,"1,370.30870",160106,ML,N,B,INVEGA SUSTENNA,78 MG PREF SYR
6128981,INVEGA SUSTENNA 78 MG/0.5 ML,"1,601.87600",181017,ML,N,B,INVEGA SUSTENNA,78 MG/0.5 ML
6151006,INVEGA TRINZA 410 MG/1.315 ML,"2,743.77034",180620,ML,N,B,INVEGA TRINZA,410 MG/1.315 ML
6141684,INVEGA TRINZA 546 MG/1.75 ML,"2,738.41633",181017,ML,N,B,INVEGA TRINZA,546 MG/1.75 ML
6151128,INVEGA TRINZA 819 MG/2.625 ML,"2,750.28981",180221,ML,N,B,INVEGA TRINZA,819 MG/2.625 ML
5127820,INVIRASE 500 MG TABLET,9.75934,170101,EA,N,B,INVIRASE,500 MG TABLET
3024265,INVISIBLE ACNE 10% CREAM,0.08257,140618,GM,Y,G,INVISIBLE ACNE,10% CREAM
6139691,"INVOKAMET 150-1,000 MG TABLET",7.41448,180117,EA,N,B,INVOKAMET,"150-1,000 MG TABLET"
6138001,INVOKAMET 150-500 MG TABLET,7.43283,181017,EA,N,B,INVOKAMET,150-500 MG TABLET
6146253,"INVOKAMET 50-1,000 MG TABLET",7.49735,181017,EA,N,B,INVOKAMET,"50-1,000 MG TABLET"
6141660,INVOKAMET 50-500 MG TABLET,7.43336,181017,EA,N,B,INVOKAMET,50-500 MG TABLET
6150607,"INVOKAMET XR 150-1,000 MG TAB",7.45462,181017,EA,N,B,INVOKAMET XR,"150-1,000 MG TAB"
6128241,INVOKAMET XR 150-500 MG TABLET,7.44918,180103,EA,N,B,INVOKAMET XR,150-500 MG TABLET
6131001,"INVOKAMET XR 50-1,000 MG TAB",7.49134,181017,EA,N,B,INVOKAMET XR,"50-1,000 MG TAB"
6134826,INVOKAMET XR 50-500 MG TABLET,7.44929,180103,EA,N,B,INVOKAMET XR,50-500 MG TABLET
6151003,INVOKANA 100 MG TABLET,14.85801,180117,EA,N,B,INVOKANA,100 MG TABLET
6144930,INVOKANA 300 MG TABLET,14.85157,180117,EA,N,B,INVOKANA,300 MG TABLET
6140404,IODIDES TINCTURE,0.06935,181017,ML,Y,G,IODIDES TINCTURE,
6139100,IODINE 2% MILD TINCTURE,0.07293,181017,ML,Y,G,IODINE,2% MILD TINCTURE
4606942,IOPHEN DM-NR LIQUID,0.00836,160817,ML,Y,G,IOPHEN DM-NR LIQUID,
4957978,IOPHEN NR LIQUID,0.00562,171122,ML,Y,G,IOPHEN NR LIQUID,
5058611,IOPHEN-C NR LIQUID,0.03094,171220,ML,Y,G,IOPHEN-C NR LIQUID,
4088785,IPRAT-ALBUT 0.5-3(2.5) MG/3 ML,0.06593,170322,ML,N,G,IPRAT-ALBUT,0.5-3(2.5) MG/3 ML
6150264,IPRATROPIUM 0.03% SPRAY,0.85855,181017,ML,N,G,IPRATROPIUM,0.03% SPRAY
6146423,IPRATROPIUM 0.06% SPRAY,1.58152,181017,ML,N,G,IPRATROPIUM,0.06% SPRAY
6150502,IPRATROPIUM BR 0.02% SOLN,0.05039,181017,ML,N,G,IPRATROPIUM BR,0.02% SOLN
6147559,IPRATROPIUM-ALBUTEROL 0.5-3(2.5) MG/3 ML,0.05348,181017,ML,N,G,IPRATROPIUM-ALBUTEROL,0.5-3(2.5) MG/3 ML
6149418,IRBESARTAN 150 MG TABLET,0.11782,181017,EA,N,G,IRBESARTAN,150 MG TABLET
6150555,IRBESARTAN 300 MG TABLET,0.17988,181017,EA,N,G,IRBESARTAN,300 MG TABLET
6150116,IRBESARTAN 75 MG TABLET,0.13903,181017,EA,N,G,IRBESARTAN,75 MG TABLET
6147657,IRBESARTAN-HYDROCHLOROTHIAZIDE 150-12.5 MG TB,0.20550,181017,EA,N,G,IRBESARTAN-HYDROCHLOROTHIAZIDE,150-12.5 MG TB
6149657,IRBESARTAN-HYDROCHLOROTHIAZIDE 300-12.5 MG TB,0.24400,181017,EA,N,G,IRBESARTAN-HYDROCHLOROTHIAZIDE,300-12.5 MG TB
5629120,IROSPAN 24/6 TABLET,4.38347,180221,EA,N,G,IROSPAN,24/6 TABLET
6146462,ISENTRESS 400 MG TABLET,24.19068,180418,EA,N,B,ISENTRESS,400 MG TABLET
6140745,ISENTRESS HD 600 MG TABLET,24.14964,180321,EA,N,B,ISENTRESS HD,600 MG TABLET
6139173,ISIBLOOM 28 DAY TABLET,0.38519,181017,EA,N,G,ISIBLOOM,28 DAY TABLET
4794375,ISONIAZID 100 MG TABLET,0.08534,160921,EA,N,G,ISONIAZID,100 MG TABLET
6150019,ISONIAZID 300 MG TABLET,0.18703,181017,EA,N,G,ISONIAZID,300 MG TABLET
4980357,ISONIAZID 50 MG/5 ML SOLUTION,0.31002,161221,ML,N,G,ISONIAZID,50 MG/5 ML SOLUTION
2996145,ISOPTO TEARS 0.5% EYE DROPS,1.50053,141119,ML,Y,G,ISOPTO TEARS,0.5% EYE DROPS
3293027,ISORDIL 40 MG TABLET,17.34581,150731,EA,N,B,ISORDIL,40 MG TABLET
5614138,ISOSORBIDE DINITR ER 40 MG TAB,1.49214,170920,EA,N,G,ISOSORBIDE DINITR ER,40 MG TAB
6149848,ISOSORBIDE DINITRATE 10 MG TAB,0.43773,181017,EA,N,G,ISOSORBIDE DINITRATE,10 MG TAB
6148719,ISOSORBIDE DINITRATE 20 MG TAB,0.48087,181017,EA,N,G,ISOSORBIDE DINITRATE,20 MG TAB
6143716,ISOSORBIDE DINITRATE 30 MG TAB,0.62819,181017,EA,N,G,ISOSORBIDE DINITRATE,30 MG TAB
6151182,ISOSORBIDE DINITRATE 5 MG TAB,0.38289,181017,EA,N,G,ISOSORBIDE DINITRATE,5 MG TAB
5324492,ISOSORBIDE DN 10 MG TABLET,0.50564,180221,EA,N,G,ISOSORBIDE DN,10 MG TABLET
2785202,ISOSORBIDE DN 2.5 MG TAB SL,0.04440,130221,EA,N,G,ISOSORBIDE DN,2.5 MG TAB SL
5327819,ISOSORBIDE DN 20 MG TABLET,0.51883,180221,EA,N,G,ISOSORBIDE DN,20 MG TABLET
5327375,ISOSORBIDE DN 30 MG TABLET,0.65028,180221,EA,N,G,ISOSORBIDE DN,30 MG TABLET
5325644,ISOSORBIDE DN 5 MG TABLET,0.47662,180221,EA,N,G,ISOSORBIDE DN,5 MG TABLET
5308764,ISOSORBIDE DN ER 40 MG TABLET,1.49214,170920,EA,N,G,ISOSORBIDE DN ER,40 MG TABLET
5326529,ISOSORBIDE MN 10 MG TABLET,0.17631,180221,EA,N,G,ISOSORBIDE MN,10 MG TABLET
5322760,ISOSORBIDE MN 20 MG TABLET,0.13753,180221,EA,N,G,ISOSORBIDE MN,20 MG TABLET
5326558,ISOSORBIDE MN ER 120 MG TAB,0.43866,180221,EA,N,G,ISOSORBIDE MN ER,120 MG TAB
5325668,ISOSORBIDE MN ER 30 MG TABLET,0.14851,180221,EA,N,G,ISOSORBIDE MN ER,30 MG TABLET
5327964,ISOSORBIDE MN ER 60 MG TABLET,0.18175,180221,EA,N,G,ISOSORBIDE MN ER,60 MG TABLET
6140575,ISOSORBIDE MONONIT 10 MG TAB,0.15311,181017,EA,N,G,ISOSORBIDE MONONIT,10 MG TAB
6146857,ISOSORBIDE MONONIT 20 MG TAB,0.12162,181017,EA,N,G,ISOSORBIDE MONONIT,20 MG TAB
6143376,ISOSORBIDE MONONIT ER 120 MG,0.38747,181017,EA,N,G,ISOSORBIDE MONONIT ER,120 MG
6150858,ISOSORBIDE MONONIT ER 30 MG TB,0.11342,181017,EA,N,G,ISOSORBIDE MONONIT ER,30 MG TB
6149336,ISOSORBIDE MONONIT ER 60 MG TB,0.14829,181017,EA,N,G,ISOSORBIDE MONONIT ER,60 MG TB
6135224,ISOTRETINOIN 10 MG CAPSULE,3.37467,181017,EA,N,G,ISOTRETINOIN,10 MG CAPSULE
6149783,ISOTRETINOIN 20 MG CAPSULE,4.10837,181017,EA,N,G,ISOTRETINOIN,20 MG CAPSULE
6129284,ISOTRETINOIN 30 MG CAPSULE,5.96506,181017,EA,N,G,ISOTRETINOIN,30 MG CAPSULE
6143079,ISOTRETINOIN 40 MG CAPSULE,4.24213,181017,EA,N,G,ISOTRETINOIN,40 MG CAPSULE
3057793,ISRADIPINE 2.5 MG CAPSULE,0.93250,150311,EA,N,G,ISRADIPINE,2.5 MG CAPSULE
5772492,ISRADIPINE 5 MG CAPSULE,1.26896,171115,EA,N,G,ISRADIPINE,5 MG CAPSULE
6144734,ISTALOL 0.5% EYE DROPS,62.50896,180105,ML,N,B,ISTALOL,0.5% EYE DROPS
6143761,ITCH RELIEF CREAM,0.05582,181017,GM,Y,G,ITCH RELIEF CREAM,
6142477,ITCH-X GEL,0.08237,181017,GM,Y,G,ITCH-X GEL,
4910521,ITCH-X SPRAY,0.07036,161019,ML,Y,G,ITCH-X SPRAY,
123711,ITCHY EYE 0.025% DROPS,1.51916,160518,ML,Y,G,ITCHY EYE,0.025% DROPS
6150936,ITRACONAZOLE 100 MG CAPSULE,2.21831,181017,EA,N,G,ITRACONAZOLE,100 MG CAPSULE
6140977,IVERMECTIN 3 MG TABLET,3.82691,181017,EA,N,G,IVERMECTIN,3 MG TABLET
3026518,J-COF DHC LIQUID,0.22243,130221,ML,N,G,J-COF DHC LIQUID,
3112242,J-MAX SYRUP,0.33527,150520,ML,Y,G,J-MAX SYRUP,
2961998,J-TAN D PD DROPS,2.17740,150218,ML,Y,G,J-TAN D PD DROPS,
3111598,J-TAN PD DROPS,2.46646,150520,ML,Y,G,J-TAN PD DROPS,
6146775,JALYN 0.5-0.4 MG CAPSULE,6.12304,180718,EA,N,B,JALYN,0.5-0.4 MG CAPSULE
6142148,JANTOVEN 1 MG TABLET,0.11174,181017,EA,N,G,JANTOVEN,1 MG TABLET
6149344,JANTOVEN 10 MG TABLET,0.15514,181017,EA,N,G,JANTOVEN,10 MG TABLET
6141892,JANTOVEN 2 MG TABLET,0.11353,181017,EA,N,G,JANTOVEN,2 MG TABLET
6140891,JANTOVEN 2.5 MG TABLET,0.12885,181017,EA,N,G,JANTOVEN,2.5 MG TABLET
6147829,JANTOVEN 3 MG TABLET,0.12686,181017,EA,N,G,JANTOVEN,3 MG TABLET
6150346,JANTOVEN 4 MG TABLET,0.11570,181017,EA,N,G,JANTOVEN,4 MG TABLET
6137348,JANTOVEN 5 MG TABLET,0.11369,181017,EA,N,G,JANTOVEN,5 MG TABLET
6145143,JANTOVEN 6 MG TABLET,0.15371,181017,EA,N,G,JANTOVEN,6 MG TABLET
6145842,JANTOVEN 7.5 MG TABLET,0.15187,181017,EA,N,G,JANTOVEN,7.5 MG TABLET
6140263,"JANUMET 50-1,000 MG TABLET",6.87413,181017,EA,N,B,JANUMET,"50-1,000 MG TABLET"
6145151,JANUMET 50-500 MG TABLET,6.87934,180221,EA,N,B,JANUMET,50-500 MG TABLET
6135885,"JANUMET XR 100-1,000 MG TABLET",13.73944,181017,EA,N,B,JANUMET XR,"100-1,000 MG TABLET"
6141267,"JANUMET XR 50-1,000 MG TABLET",6.86318,181017,EA,N,B,JANUMET XR,"50-1,000 MG TABLET"
6139942,JANUMET XR 50-500 MG TABLET,6.89993,181017,EA,N,B,JANUMET XR,50-500 MG TABLET
6148138,JANUVIA 100 MG TABLET,13.74711,181017,EA,N,B,JANUVIA,100 MG TABLET
6148113,JANUVIA 25 MG TABLET,13.76389,181017,EA,N,B,JANUVIA,25 MG TABLET
6149559,JANUVIA 50 MG TABLET,13.75211,181017,EA,N,B,JANUVIA,50 MG TABLET
6136563,JARDIANCE 10 MG TABLET,14.87659,181017,EA,N,B,JARDIANCE,10 MG TABLET
6141359,JARDIANCE 25 MG TABLET,14.88439,181017,EA,N,B,JARDIANCE,25 MG TABLET
6148163,JENCYCLA 0.35 MG TABLET,0.18919,181017,EA,N,G,JENCYCLA,0.35 MG TABLET
6146487,"JENTADUETO 2.5 MG-1,000 MG TAB",6.57972,180117,EA,N,B,JENTADUETO,"2.5 MG-1,000 MG TAB"
6146758,JENTADUETO 2.5 MG-500 MG TAB,6.58084,180117,EA,N,B,JENTADUETO,2.5 MG-500 MG TAB
6131571,JENTADUETO 2.5 MG-850 MG TAB,6.59630,180103,EA,N,B,JENTADUETO,2.5 MG-850 MG TAB
6144786,"JENTADUETO XR 2.5 MG-1,000 MG",6.58770,180822,EA,N,B,JENTADUETO XR,"2.5 MG-1,000 MG"
6138861,"JENTADUETO XR 5 MG-1,000 MG TB",13.20720,180919,EA,N,B,JENTADUETO XR,"5 MG-1,000 MG TB"
6147498,JEVANTIQUE LO 0.5 MG-2.5 MCG,1.52301,181017,EA,N,G,JEVANTIQUE LO,0.5 MG-2.5 MCG
6148302,JINTELI 1 MG-5 MCG TABLET,1.62135,181017,EA,N,G,JINTELI,1 MG-5 MCG TABLET
6135140,JOCK ITCH 1% POWDER SPRAY,0.02636,180822,GM,Y,G,JOCK ITCH,1% POWDER SPRAY
6138125,JOLESSA 0.15 MG-0.03 MG TABLET,0.33114,181017,EA,N,G,JOLESSA,0.15 MG-0.03 MG TABLET
6131376,JOLIVETTE TABLET,0.18919,181017,EA,N,G,JOLIVETTE,TABLET
6150679,JUBLIA 10% TOPICAL SOLUTION,137.22365,180822,ML,N,B,JUBLIA,10% TOPICAL SOLUTION
6143571,JULEBER 28 DAY TABLET,0.38519,181017,EA,N,G,JULEBER,28 DAY TABLET
6127234,JULUCA 50-25 MG TABLET,83.02775,180822,EA,N,B,JULUCA,50-25 MG TABLET
6129855,JUNEL 1 MG-20 MCG TABLET,0.35867,181017,EA,N,G,JUNEL,1 MG-20 MCG TABLET
6127904,JUNEL 1.5 MG-30 MCG TABLET,0.63762,181017,EA,N,G,JUNEL,1.5 MG-30 MCG TABLET
6144391,JUNEL FE 1 MG-20 MCG TABLET,0.26221,181017,EA,N,G,JUNEL FE,1 MG-20 MCG TABLET
6137054,JUNEL FE 1.5 MG-30 MCG TABLET,0.32642,181017,EA,N,G,JUNEL FE,1.5 MG-30 MCG TABLET
6130474,JUNEL FE 24 TABLET,1.10658,181017,EA,N,G,JUNEL FE,24 TABLET
5992283,JUNIOR MAPAP 160 MG RAPID TAB,0.07097,170920,EA,Y,G,JUNIOR MAPAP,160 MG RAPID TAB
3069683,JUVISYNC 100-40 MG TABLET,9.10837,141231,EA,N,B,JUVISYNC,100-40 MG TABLET
6138293,K EFFERVESCENT 25 MEQ TABLET,0.19684,180919,EA,N,G,K EFFERVESCENT,25 MEQ TABLET
6150349,K-PHOS NEUTRAL TABLET,0.35089,181017,EA,Y,G,K-PHOS NEUTRAL,TABLET
6150184,K-PHOS ORIGINAL TABLET,0.42718,180919,EA,N,G,K-PHOS ORIGINAL,TABLET
4919180,K-TAB ER 10 MEQ TABLET,0.44854,161019,EA,N,B,K-TAB ER,10 MEQ TABLET
6149242,K-TAB ER 8 MEQ TABLET,0.41016,181017,EA,N,B,K-TAB ER,8 MEQ TABLET
6140367,KADIAN ER 10 MG CAPSULE,9.45468,180101,EA,N,B,KADIAN ER,10 MG CAPSULE
6145007,KADIAN ER 100 MG CAPSULE,37.09629,180101,EA,N,B,KADIAN ER,100 MG CAPSULE
6145009,KADIAN ER 20 MG CAPSULE,10.38794,180117,EA,N,B,KADIAN ER,20 MG CAPSULE
6132593,KADIAN ER 30 MG CAPSULE,11.16517,180101,EA,N,B,KADIAN ER,30 MG CAPSULE
6140541,KADIAN ER 40 MG CAPSULE,14.99883,180101,EA,N,B,KADIAN ER,40 MG CAPSULE
6136043,KADIAN ER 50 MG CAPSULE,18.79276,180912,EA,N,B,KADIAN ER,50 MG CAPSULE
6126958,KADIAN ER 60 MG CAPSULE,22.28325,180101,EA,N,B,KADIAN ER,60 MG CAPSULE
6146773,KADIAN ER 80 MG CAPSULE,29.64731,180101,EA,N,B,KADIAN ER,80 MG CAPSULE
6133485,KAITLIB FE CHEWABLE TABLET,2.58560,181017,EA,N,G,KAITLIB FE CHEWABLE,TABLET
6145182,KALETRA 200-50 MG TABLET,8.29746,180620,EA,N,B,KALETRA,200-50 MG TABLET
3824329,KALETRA 400-100/5 ML ORAL SOLU,2.94486,161226,ML,N,B,KALETRA,400-100/5 ML ORAL SOLU
6137257,KALETRA 80 MG-20 MG/ML SOLN,3.11860,171222,ML,N,B,KALETRA,80 MG-20 MG/ML SOLN
2306126,KALEXATE POWDER,0.16165,140219,GM,N,G,KALEXATE POWDER,
6138554,KAO-TIN 240 MG SOFTGEL,0.05293,181017,EA,Y,G,KAO-TIN,240 MG SOFTGEL
6151021,KAO-TIN SUSPENSION,0.00638,181017,ML,Y,G,KAO-TIN SUSPENSION,
6146677,KAPVAY ER 0.1 MG TABLET,7.05928,180919,EA,N,B,KAPVAY ER,0.1 MG TABLET
5435062,KARBINAL ER 4 MG/ 5 ML SUSP,0.89716,170621,ML,N,B,KARBINAL ER,4 MG/ 5 ML SUSP
6148373,KARBINAL ER 4 MG/5 ML SUSP,0.97999,180718,ML,N,B,KARBINAL ER,4 MG/5 ML SUSP
6145864,KARIVA 28 DAY TABLET,0.44812,181017,EA,N,G,KARIVA,28 DAY TABLET
6147755,"KAZANO 12.5-1,000 MG TABLET",5.99694,180822,EA,N,B,KAZANO,"12.5-1,000 MG TABLET"
5121680,KAZANO 12.5-500 MG TABLET,5.98829,170104,EA,N,B,KAZANO,12.5-500 MG TABLET
2802907,KEDBUMIN 25% VIAL,0.49510,141119,ML,N,B,KEDBUMIN,25% VIAL
6141875,KELNOR 1-35 28 TABLET,0.50033,181017,EA,N,G,KELNOR,1-35 28 TABLET
6149256,KELNOR 1-50 TABLET,0.76878,181017,EA,N,G,KELNOR,1-50 TABLET
5121875,KENALOG 0.147 MG/GRAM SPRAY,8.11848,170101,GM,N,B,KENALOG,0.147 MG/GRAM SPRAY
2995548,KENALOG AEROSOL SPRAY,3.45152,140917,GM,N,B,KENALOG AEROSOL SPRAY,
6128196,KENALOG-10 10 MG/ML VIAL,2.31880,181017,ML,N,B,KENALOG-10,10 MG/ML VIAL
6145266,KENALOG-40 40 MG/ML VIAL,8.95667,181017,ML,N,B,KENALOG-40,40 MG/ML VIAL
6126994,"KEPPRA 1,000 MG TABLET",15.01138,180822,EA,N,B,KEPPRA,"1,000 MG TABLET"
6146236,KEPPRA 100 MG/ML ORAL SOLN,1.47298,180620,ML,N,B,KEPPRA,100 MG/ML ORAL SOLN
6142728,KEPPRA 250 MG TABLET,6.16727,180101,EA,N,B,KEPPRA,250 MG TABLET
6131843,KEPPRA 500 MG TABLET,7.55042,180822,EA,N,B,KEPPRA,500 MG TABLET
6126586,KEPPRA 750 MG TABLET,9.97937,181017,EA,N,B,KEPPRA,750 MG TABLET
6126764,KEPPRA XR 500 MG TABLET,6.77867,180321,EA,N,B,KEPPRA XR,500 MG TABLET
6126920,KEPPRA XR 750 MG TABLET,10.18276,180321,EA,N,B,KEPPRA XR,750 MG TABLET
6143753,KERYDIN 5% TOPICAL SOLUTION,145.67617,180822,ML,N,B,KERYDIN,5% TOPICAL SOLUTION
6149532,KETOCONAZOLE 2% CREAM,0.49418,181017,GM,N,G,KETOCONAZOLE,2% CREAM
3043824,KETOCONAZOLE 2% FOAM,2.88420,130919,GM,N,G,KETOCONAZOLE,2% FOAM
6142290,KETOCONAZOLE 2% SHAMPOO,0.05937,181017,ML,N,G,KETOCONAZOLE,2% SHAMPOO
6144978,KETOCONAZOLE 200 MG TABLET,1.53010,181017,EA,N,G,KETOCONAZOLE,200 MG TABLET
1907723,KETODAN 2% FOAM,2.88420,130919,GM,N,G,KETODAN,2% FOAM
6133229,KETOPROFEN 50 MG CAPSULE,0.47738,171122,EA,N,G,KETOPROFEN,50 MG CAPSULE
6099838,KETOPROFEN 75 MG CAPSULE,0.54156,171018,EA,N,G,KETOPROFEN,75 MG CAPSULE
5350921,KETOPROFEN ER 200 MG CAPSULE,7.88286,170322,EA,N,G,KETOPROFEN ER,200 MG CAPSULE
6136235,KETOROLAC 0.4% OPHTH SOLUTION,9.89906,181017,ML,N,G,KETOROLAC,0.4% OPHTH SOLUTION
6149377,KETOROLAC 0.5% OPHTH SOLUTION,1.44547,181017,ML,N,G,KETOROLAC,0.5% OPHTH SOLUTION
6143884,KETOROLAC 10 MG TABLET,0.97678,181017,EA,N,G,KETOROLAC,10 MG TABLET
3102407,KETOROLAC 15 MG/ML VIAL,1.54816,150520,ML,N,G,KETOROLAC,15 MG/ML VIAL
6147514,KETOROLAC 30 MG/ML VIAL,1.50427,180718,ML,N,G,KETOROLAC,30 MG/ML VIAL
6132221,KETOROLAC 60 MG/2 ML VIAL,1.26240,181024,ML,N,G,KETOROLAC,60 MG/2 ML VIAL
6136020,KETOTIFEN FUM 0.025% EYE DROPS,1.33215,181017,ML,Y,G,KETOTIFEN FUM,0.025% EYE DROPS
2916104,KID'S MUCINEX MINI-MELT PACK,0.51328,130221,EA,Y,B,KID'S MUCINEX MINI-MELT PACK,
6131642,KID'S MUCINEX MINI-MELTS PACK,0.59889,180718,EA,Y,B,KID'S MUCINEX MINI-MELTS PACK,
6133134,KIDKARE COUGH & COLD LIQUID,0.01607,180221,ML,Y,G,KIDKARE COUGH & COLD LIQUID,
6143943,KIMIDESS 28 DAY TABLET,0.44812,181017,EA,N,G,KIMIDESS,28 DAY TABLET
3830557,KINERET 100 MG/0.67 ML SYRINGE,192.31058,160101,ML,N,B,KINERET,100 MG/0.67 ML SYRINGE
6147744,KIONEX 15 GM/60 ML SUSPENSION,0.11000,180718,ML,N,G,KIONEX,15 GM/60 ML SUSPENSION
5830775,KIONEX POWDER,0.08727,180718,GM,N,G,KIONEX POWDER,
1520608,KLARON 10% LOTION,1.76320,130613,ML,N,B,KLARON,10% LOTION
6149970,KLONOPIN 0.5 MG TABLET,2.45890,180620,EA,N,B,KLONOPIN,0.5 MG TABLET
6150764,KLONOPIN 1 MG TABLET,2.78036,180418,EA,N,B,KLONOPIN,1 MG TABLET
3033553,KLONOPIN 2 MG TABLET,3.15852,140103,EA,N,B,KLONOPIN,2 MG TABLET
6145895,KLOR-CON 10 MEQ TABLET,0.40029,180919,EA,N,B,KLOR-CON,10 MEQ TABLET
6148144,KLOR-CON 20 MEQ PACKET,6.62549,181017,EA,N,B-ANDA,KLOR-CON,20 MEQ PACKET
2990521,KLOR-CON 25 MEQ PACKET,7.98757,150715,EA,N,B,KLOR-CON,25 MEQ PACKET
6150350,KLOR-CON 8 MEQ TABLET,0.41016,181017,EA,N,B,KLOR-CON,8 MEQ TABLET
6150360,KLOR-CON M10 TABLET,0.31321,180919,EA,N,B-ANDA,KLOR-CON M10,TABLET
5996443,KLOR-CON M15 TABLET,0.80043,170920,EA,N,B-ANDA,KLOR-CON M15,TABLET
6150419,KLOR-CON M20 TABLET,0.29678,180523,EA,N,B-ANDA,KLOR-CON M20,TABLET
6146288,KLOR-CON SPRINKLE ER 10 MEQ CP,0.28421,180221,EA,N,B-ANDA,KLOR-CON SPRINKLE ER,10 MEQ CP
6145212,KLOR-CON SPRINKLE ER 8 MEQ CAP,0.46459,180321,EA,N,B-ANDA,KLOR-CON SPRINKLE ER,8 MEQ CAP
6151092,KLOR-CON-EF 25 MEQ TAB EFF,1.03500,180919,EA,N,B,KLOR-CON-EF,25 MEQ TAB EFF
6135241,"KOMBIGLYZE XR 2.5-1,000 MG TAB",6.52291,181017,EA,N,B,KOMBIGLYZE XR,"2.5-1,000 MG TAB"
6145570,"KOMBIGLYZE XR 5-1,000 MG TAB",13.05855,181017,EA,N,B,KOMBIGLYZE XR,"5-1,000 MG TAB"
6139225,KOMBIGLYZE XR 5-500 MG TABLET,13.11902,180101,EA,N,B,KOMBIGLYZE XR,5-500 MG TABLET
6135196,KONSYL 520 MG CAPSULE,0.05856,181017,EA,Y,G,KONSYL,520 MG CAPSULE
4385078,KONSYL 6 GM PACKET,0.32822,160518,EA,Y,G,KONSYL,6 GM PACKET
2694923,KONSYL EASY MIX FORMULA POWDER,0.02918,140423,GM,Y,G,KONSYL EASY MIX FORMULA POWDER,
6141282,KONSYL FIBER 625 MG CAPLET,0.06174,181017,EA,Y,G,KONSYL FIBER,625 MG CAPLET
2779797,KONSYL FIBER 625 MG TABLET,0.05537,140618,EA,Y,G,KONSYL FIBER,625 MG TABLET
3051034,KONSYL ORANGE POWDER,0.00905,131218,GM,Y,G,KONSYL ORANGE POWDER,
5573738,KONSYL ORIGINAL FIBER POWDER,0.02818,170517,GM,Y,G,KONSYL ORIGINAL FIBER POWDER,
3035468,KONSYL PACKET,0.21133,140219,EA,Y,G,KONSYL PACKET,
3057679,KONSYL POWDER,0.02918,140423,GM,Y,G,KONSYL POWDER,
4788772,KONSYL PSYLLIUM FIBER PACKET,0.21620,160921,EA,Y,G,KONSYL PSYLLIUM FIBER PACKET,
6150728,KRISTALOSE 10 GM PACKET,6.78201,180906,EA,N,B-ANDA,KRISTALOSE,10 GM PACKET
6149417,KRISTALOSE 20 GM PACKET,7.02973,180906,EA,N,B-ANDA,KRISTALOSE,20 GM PACKET
4017335,KRO NICOTINE 14 MG/24 HR PATCH,1.70738,170222,EA,Y,G,KRO NICOTINE,14 MG/24 HR PATCH
4003034,KRO NICOTINE 21 MG/24HR PATCH,1.67343,170222,EA,Y,G,KRO NICOTINE,21 MG/24HR PATCH
3908135,KRO NICOTINE 7 MG/24HR PATCH,1.73647,170118,EA,Y,G,KRO NICOTINE,7 MG/24HR PATCH
6141841,KURVELO TABLET,0.23146,181017,EA,N,G,KURVELO,TABLET
2317782,L-A NASAL DECONGEST 120 MG TAB,0.33510,131218,EA,Y,G,L-A NASAL DECONGEST,120 MG TAB
4008067,L-METHYL-B6-B12 TABLET,0.80931,161123,EA,Y,G,L-METHYL-B6-B12,TABLET
2113871,L-METHYL-MC NAC TABLET,1.40364,150826,EA,N,G,L-METHYL-MC NAC,TABLET
3009729,L-METHYL-MC TABLET,2.05251,150624,EA,N,G,L-METHYL-MC,TABLET
3902519,L-METHYLFOLATE CALCIUM 15 MG,1.60011,161123,EA,Y,G,L-METHYLFOLATE CALCIUM,15 MG
3632740,L-METHYLFOLATE CALCIUM 7.5 MG,1.95072,161019,EA,Y,G,L-METHYLFOLATE CALCIUM,7.5 MG
